username,average_kappa,annotation_count
eagaev,0.5088812820590248,39
raulaliyev,NO ANNOTATION,NO ANNOTATION
caltinuzengi,0.8085461121094201,34
emirasal,0.7681833610232247,36
tolgaaydin,0.8130123438127522,35
sananbabayev,0.6787657574564406,38
burakbatman,0.763022311963803,36
tahabayindir,0.7230625717724022,36
ozgurbeker,0.7516921433221588,35
mustafacem,0.7589637701773005,37
ramonberke,0.7303386401550334,33
mehmetcandar,0.7706705527199142,35
alikoray,0.7789309416149218,33
alpercakar,0.7487780249740614,32
colakulas,0.7778647976832217,36
fethidenker,0.7828401818488697,37
dogru,0.7533488507241142,32
orkhan,0.7740499702591923,35
idilkale,0.7796497667189386,35
gkantar,0.7400577525430072,39
kkaan,0.8200063154553513,35
karakoc,0.5908914186247163,15
zubeyir,0.7077419809382108,35
omersurhay,0.8051124538450876,24
omerkuyucu,0.7948951928376911,36
goktugmandaci,0.7746861182760001,36
msamil,0.7980584295791064,39
umutonder,0.7701879227048851,40
rebahozkoc,0.8184136285497321,31
alisinal,0.7759413829905804,10
suedaseker,0.8202870887565805,37
onatt,0.7779144906491302,38
oteryaki,0.7719954120089196,37
alperenyildiz,0.7506151463533803,38